Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),
1999,12,4.4,-8.1,-1.9,14,-20,2,0,2,
2000,1,-6.8,-18.7,-12.8,3.5,-30,0,15,15,
2000,2,-3.6,-18,-10.8,5,-32,0,18,18,
2000,3,4.2,-7.4,-1.6,17,-20,0,9,9,
2000,4,12.8,-2.1,5.3,23,-14,11.4,15,26.4,
2000,5,18.7,3.4,11.1,25.5,-2,17.4,0,17.4,
2000,6,22,6.8,14.4,29,-0.5,30.4,0,30.4,
2000,7,27.8,11,19.4,35,5,18,0,18,
2000,8,25.9,9.3,17.6,33,4,38,0,38,
2000,9,19.2,4.2,11.7,29,-7,40,0,40,
2000,10,13.6,-1.6,6,26,-12,2.2,2,4.2,
2000,11,1.7,-10.9,-4.6,16,-22,1.2,9,10.2,
2000,12,-8.1,-18,-13.1,5.5,-32.5,0,7,7,
2001,1,2.5,-10.2,-3.9,8,-18,5,0,5,
2001,2,-7.1,-19.5,-13.3,9.5,-30.5,0,9,9,
2001,3,6.9,-5.9,0.5,14.5,-15,5,3,8,
2001,4,13.6,-2.3,5.7,27.5,-11,4,5,9,
2001,5,21.4,4.3,12.8,31.5,-3.5,10,0,10,
2001,6,22.4,7.8,15.1,31,3,34.4,0,34.4,
2001,7,27.5,11.3,19.4,34.5,6.5,14.9,0,14.9,
2001,8,30,10.1,20.1,37,4.5,2,0,2,
2001,9,22.9,5.6,14.3,33,0,8.2,0,8.2,
2001,10,12.6,-2.8,4.9,24,-12,2.8,2,4.8,
2001,11,7.1,-5.9,0.6,20,-20.5,0,13,13,
2001,12,-4.3,-16.4,-10.4,5,-26.5,0,3,3,
2002,1,-2.8,-14.1,-8.4,10,-34.5,7.4,17,24.4,
2002,2,2.3,-10.8,-4.3,16,-24.5,0,5,5,
2002,3,-7,-19.1,-13.1,12.5,-34,0,18,18,
2002,4,9.4,-5,2.2,23,-17,3,3,6,
2002,5,17.7,1.4,9.6,28,-8.5,4,14,18,
2002,6,24.1,9.3,16.8,36.5,2,43.2,0,43.2,
2002,7,28.9,11.4,20.2,37.5,4.5,49.8,0,49.8,
2002,8,23,9,16.1,31,3.5,78.4,0,78.4,
2002,9,18.2,5.1,11.6,27.5,-4,53.2,0,53.2,
2002,10,7.4,-3.5,2,16.5,-17.5,8.8,3,11.8,
2002,11,6.8,-4.6,1.1,17,-12.5,1,5,6,
2002,12,2.2,-10.9,-4.4,13.5,-22,0,10,10,
2003,1,-3.8,-15.8,-9.8,11,-39,0,16,16,
2003,2,-4.7,-15.2,-10,3.5,-34,0,23,23,
2003,3,2.3,-10.2,-4,21.5,-33,1.8,2,3.8,
2003,4,12.1,-0.2,6,25.5,-16,39,4,43,
2003,5,16.8,3.2,10,31,-4,40,26,66,
2003,6,22.6,8.9,15.8,32,2,32.6,0,32.6,
2003,7,28.7,10.5,19.6,35,5,14,0,14,
2003,8,28.9,11.3,20.1,34,4.5,13.6,0,13.6,
2003,9,19.3,4.9,12.1,32,-3.5,18.4,5,23.4,
2003,10,16.3,0.4,8.4,28,-20,12.4,8,20.4,
2003,11,-3.4,-15.5,-9.5,5,-29.5,0,13,13,
2003,12,-1.9,-13.1,-7.5,6.5,-22.5,0,2,2,
2004,1,-9.7,-18.8,-14.3,4.5,-37.5,0,28,28,
2004,2,-2.5,-14.5,-8.5,6.5,-30.5,0,1,1,
2004,3,7,-5.8,0.7,27,-24.5,0,6,6,
2004,4,15.6,-1.8,6.9,26.5,-7,5,1,6,
2004,5,16.3,2.3,9.3,27,-3.5,27.6,4,31.6,
2004,6,21.8,6.6,14.2,31,1,45,0,45,
2004,7,26.3,10.9,18.6,35,6,35.6,0,35.6,
2004,8,23.7,9.6,16.7,31.5,5.5,81.8,0,81.8,
2004,9,19,3.3,11.1,25.5,-3.5,5.6,0,5.6,
2004,10,11.8,-2.6,4.6,26,-9.5,2,6,8,
2004,11,6.7,-7,-0.2,15.5,-14,2.2,1,3.2,
2004,12,-1.5,-12.4,-6.9,14.5,-29,2,15,17,
2005,1,-7.5,-19.3,-13.4,8,-36,0,6,6,
2005,2,3.3,-10.4,-3.6,14,-22,0,1,1,
2005,3,7.6,-6,0.8,19.5,-16.5,0.8,7,7.8,
2005,4,14.5,-1.8,6.3,25,-8,14.4,2,16.4,
2005,5,19.7,2.4,11.1,26.5,-10,4,0,4,
2005,6,19.5,8.7,14.1,30.5,4,200.8,0,200.8,
2005,7,25.5,10.1,17.8,34.5,4.5,24,0,24,
2005,8,22.2,8,15.1,32.5,1.5,83.8,0,83.8,
2005,9,18.2,3.6,10.9,28,-3.5,71.2,0,71.2,
2005,10,13.6,-1.2,6.2,22.5,-6,16.6,0,16.6,
2005,11,6.1,-5.1,0.5,20.5,-18,8.4,3,11.4,
2005,12,0.1,-11.8,-5.9,14.5,-29.5,0,6,6,
2006,1,3,-9,-3,12.5,-20,0,3,3,
2006,2,0.7,-11.9,-5.6,14,-29.5,1,14,15,
2006,3,0.5,-9.3,-4.4,11,-20.5,0,23,23,
2006,4,15.5,-0.2,7.7,26.5,-5,28.2,0,28.2,
2006,5,20,4.7,12.4,31.5,-6,59.4,0,59.4,
2006,6,23,9.9,16.5,32.5,5,113.8,0,113.8,
2006,7,29,11.5,20.3,36,6,2.4,0,2.4,
2006,8,26.4,8.5,17.5,34.5,5,58.4,0,58.4,
2006,9,20.7,4.8,12.8,32,-3,19.8,0,19.8,
2006,10,9.4,-2.8,3.3,24,-12.5,20.6,3,23.6,
2006,11,-0.8,-12.1,-6.4,12,-28,0,14,14,
2006,12,1.8,-11.1,-4.7,8.5,-25,0,8,8,
2007,1,0.3,-12.7,-6.2,12,-28,0,6,6,
2007,2,-5.1,-16.4,-10.7,6.5,-36,0,16,16,
2007,3,9.3,-4.8,2.5,21,-18,8.6,6,14.6,
2007,4,9.9,-2.3,3.8,21.5,-14,55.8,16,71.8,
2007,5,18.8,4.4,11.6,27.5,0,84.4,0,84.4,
2007,6,23.5,8.6,16.1,30.5,3,129.4,0,129.4,
2007,7,30.3,13,21.7,37.5,7,6.2,0,6.2,
2007,8,25.3,8.4,16.9,36,1.5,36.6,0,36.6,
2007,9,19.5,3.4,11.5,28,-5.5,30.2,0,30.2,
2007,10,15.5,-0.5,7.5,26,-11,7.8,0,7.8,
2007,11,4.6,-9.1,-2.2,17,-24,0.2,8,8.2,
