FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,ECODISTRIC,ECOREGION,ECOZONE,CFS_ECOZ,SRC_AGY2
0,BC,1950-G00026, ,59.876,-131.922,1950,6,4,1950-06-04 0:00,,,1950-1959,12949.9,H, ,Fire, ,BC-1950-1950-G00026, , ,2020-05-05 0:00,905,177,12,12,BC
1,BC,1951-R00097, ,59.76,-132.808,1951,7,15,1951-07-15 0:00,,,1950-1959,241.1,H, ,Fire, ,BC-1951-1951-R00097, , ,2020-05-05 0:00,905,177,12,12,BC
2,BC,1950-G00035, ,57.463,-122.816,1950,6,14,1950-06-14 0:00,,,1950-1959,2071.9,L, ,Fire, ,BC-1950-1950-G00035, , ,2020-05-05 0:00,252,66,4,4,BC
3,BC,1953-G00043, ,57.684,-121.925,1953,5,1,1953-05-01 0:00,,,1950-1959,7834.7,H, ,Fire, ,BC-1953-1953-G00043, , ,2020-05-05 0:00,252,66,4,4,BC
4,BC,1950-R00029, ,59.318,-133.228,1950,6,22,1950-06-22 0:00,,,1950-1959,5179.9,L, ,Fire, ,BC-1950-1950-R00029, , ,2020-05-05 0:00,918,180,12,12,BC
5,BC,1951-R00101, ,59.713,-134.172,1951,8,7,1951-08-07 0:00,,,1950-1959,894.7,H, ,Fire, ,BC-1951-1951-R00101, , ,2020-05-05 0:00,918,180,12,12,BC
6,BC,1951-R00129, ,59.876,-133.478,1951,9,1,1951-09-01 0:00,,,1950-1959,550.3,H, ,Fire, ,BC-1951-1951-R00129, , ,2020-05-05 0:00,918,180,12,12,BC
7,BC,1950-G00049, ,58.818,-122.729,1950,6,18,1950-06-18 0:00,,,1950-1959,424.9,L, ,Fire, ,BC-1950-1950-G00049, , ,2020-05-05 0:00,244,64,4,4,BC
8,BC,1950-G00012, ,58.847,-125.229,1950,5,5,1950-05-05 0:00,,,1950-1959,841.7,H, ,Fire, ,BC-1950-1950-G00012, , ,2020-05-05 0:00,933,183,12,12,BC
9,BC,1952-R00052, ,57.626,-131.729,1952,6,24,1952-06-24 0:00,,,1950-1959,2201.4,H, ,Fire, ,BC-1952-1952-R00052, , ,2020-05-05 0:00,917,179,12,12,BC
10,BC,1951-R00038, ,58.184,-130.729,1951,5,15,1951-05-15 0:00,,,1950-1959,12949.9,H, ,Fire, ,BC-1951-1951-R00038, , ,2020-05-05 0:00,922,180,12,12,BC
11,BC,1952-R00040, ,57.905,-131.066,1952,4,1,1952-04-01 0:00,,,1950-1959,9761,H, ,Fire, ,BC-1952-1952-R00040, , ,2020-05-05 0:00,922,180,12,12,BC
12,BC,1950-G00113, ,56.789,-122.07,1950,7,29,1950-07-29 0:00,,,1950-1959,99767.297,H, ,Fire, ,BC-1950-1950-G00113, , ,2020-05-05 0:00,585,137,9,9,BC
13,BC,1950-G00118, ,56.713,-121.82,1950,7,29,1950-07-29 0:00,,,1950-1959,1035.9,H, ,Fire, ,BC-1950-1950-G00118, , ,2020-05-05 0:00,585,137,9,9,BC
14,BC,1950-G00133, ,56.789,-121.32,1950,8,26,1950-08-26 0:00,,,1950-1959,76663.703,H, ,Fire, ,BC-1950-1950-G00133, , ,2020-05-05 0:00,585,137,9,9,BC
15,BC,1950-G00014, ,56.568,-120.98,1950,5,23,1950-05-23 0:00,,,1950-1959,256.9,H, ,Fire, ,BC-1950-1950-G00014, , ,2020-05-05 0:00,585,137,9,9,BC
16,BC,1950-G00019, ,56.568,-120.927,1950,6,1,1950-06-01 0:00,,,1950-1959,76922.703,H, ,Fire, ,BC-1950-1950-G00019, , ,2020-05-05 0:00,585,137,9,9,BC
17,BC,1950-G00027, ,56.492,-121.124,1950,6,7,1950-06-07 0:00,,,1950-1959,781,H, ,Fire, ,BC-1950-1950-G00027, , ,2020-05-05 0:00,585,137,9,9,BC
18,BC,1950-G00033, ,56.376,-120.98,1950,6,12,1950-06-12 0:00,,,1950-1959,1902,H, ,Fire, ,BC-1950-1950-G00033, , ,2020-05-05 0:00,585,137,9,9,BC
19,BC,1950-G00081, ,55.76,-123.626,1950,7,4,1950-07-04 0:00,,,1950-1959,1294.9,L, ,Fire, ,BC-1950-1950-G00081, , ,2020-05-05 0:00,967,200,14,14,BC
20,BC,1953-G00042, ,56.289,-124.017,1953,5,20,1953-05-20 0:00,,,1950-1959,404.6,H, ,Fire, ,BC-1953-1953-G00042, , ,2020-05-05 0:00,967,200,14,14,BC
21,BC,1950-G00080, ,55.992,-121.126,1950,6,29,1950-06-29 0:00,,,1950-1959,242.8,L, ,Fire, ,BC-1950-1950-G00080, , ,2020-05-05 0:00,591,138,9,9,BC
22,BC,1950-G00146, ,55.818,-120.626,1950,9,20,1950-09-20 0:00,,,1950-1959,2929.9,H, ,Fire, ,BC-1950-1950-G00146, , ,2020-05-05 0:00,591,138,9,9,BC
23,BC,1950-G00147, ,56.039,-120.624,1950,9,20,1950-09-20 0:00,,,1950-1959,560.4,H, ,Fire, ,BC-1950-1950-G00147, , ,2020-05-05 0:00,591,138,9,9,BC
24,BC,1950-G00151, ,55.963,-120.73,1950,9,20,1950-09-20 0:00,,,1950-1959,23067.1,H, ,Fire, ,BC-1950-1950-G00151, , ,2020-05-05 0:00,591,138,9,9,BC
25,BC,1950-G00152, ,56.068,-120.48,1950,9,20,1950-09-20 0:00,,,1950-1959,3366.9,H, ,Fire, ,BC-1950-1950-G00152, , ,2020-05-05 0:00,591,138,9,9,BC
26,BC,1950-G00153, ,56.318,-120.73,1950,9,22,1950-09-22 0:00,,,1950-1959,1968.3,H, ,Fire, ,BC-1950-1950-G00153, , ,2020-05-05 0:00,591,138,9,9,BC
27,BC,1950-G00155, ,56.434,-120.48,1950,9,21,1950-09-21 0:00,,,1950-1959,7510.9,H, ,Fire, ,BC-1950-1950-G00155, , ,2020-05-05 0:00,591,138,9,9,BC
28,BC,1950-G00008, ,55.655,-121.678,1950,5,9,1950-05-09 0:00,,,1950-1959,643.4,H, ,Fire, ,BC-1950-1950-G00008, , ,2020-05-05 0:00,591,138,9,9,BC
29,BC,1950-G00017, ,55.655,-120.98,1950,6,1,1950-06-01 0:00,,,1950-1959,647.4,H, ,Fire, ,BC-1950-1950-G00017, , ,2020-05-05 0:00,591,138,9,9,BC
30,BC,1950-G00020, ,55.934,-121.376,1950,6,2,1950-06-02 0:00,,,1950-1959,2428.1,H, ,Fire, ,BC-1950-1950-G00020, , ,2020-05-05 0:00,591,138,9,9,BC
31,BC,1950-G00050, ,55.992,-120.376,1950,6,19,1950-06-19 0:00,,,1950-1959,323.7,H, ,Fire, ,BC-1950-1950-G00050, , ,2020-05-05 0:00,591,138,9,9,BC
32,BC,1952-G00010, ,55.818,-121.428,1952,4,29,1952-04-29 0:00,,,1950-1959,449.2,H, ,Fire, ,BC-1952-1952-G00010, , ,2020-05-05 0:00,591,138,9,9,BC
33,BC,1952-G00019, ,55.742,-121.575,1952,5,8,1952-05-08 0:00,,,1950-1959,874.1,H, ,Fire, ,BC-1952-1952-G00019, , ,2020-05-05 0:00,591,138,9,9,BC
34,BC,1952-G00082, ,56.26,-120.017,1952,5,23,1952-05-23 0:00,,,1950-1959,781,H, ,Fire, ,BC-1952-1952-G00082, , ,2020-05-05 0:00,591,138,9,9,BC
35,BC,1952-G00084, ,55.905,-121.273,1952,5,25,1952-05-25 0:00,,,1950-1959,550.3,H, ,Fire, ,BC-1952-1952-G00084, , ,2020-05-05 0:00,591,138,9,9,BC
36,BC,1953-G00006, ,56.068,-121.07,1953,5,5,1953-05-05 0:00,,,1950-1959,1214,H, ,Fire, ,BC-1953-1953-G00006, , ,2020-05-05 0:00,591,138,9,9,BC
37,BC,1953-G00032, ,56.039,-121.07,1953,5,27,1953-05-27 0:00,,,1950-1959,226.6,L, ,Fire, ,BC-1953-1953-G00032, , ,2020-05-05 0:00,591,138,9,9,BC
38,BC,1950-G00072, ,55.818,-123.73,1950,6,28,1950-06-28 0:00,,,1950-1959,250.9,L, ,Fire, ,BC-1950-1950-G00072, , ,2020-05-05 0:00,964,199,14,14,BC
39,BC,1952-G00101, ,56.539,-124.624,1952,5,15,1952-05-15 0:00,,,1950-1959,222.5,H, ,Fire, ,BC-1952-1952-G00101, , ,2020-05-05 0:00,965,199,14,14,BC
40,BC,1952-G00167, ,55.905,-125.73,1952,8,1,1952-08-01 0:00,,,1950-1959,627.2,L, ,Fire, ,BC-1952-1952-G00167, , ,2020-05-05 0:00,965,199,14,14,BC
41,BC,1952-G00188, ,55.934,-126.523,1952,8,1,1952-08-01 0:00,,,1950-1959,2747.8,L, ,Fire, ,BC-1952-1952-G00188, , ,2020-05-05 0:00,966,199,14,14,BC
42,BC,1950-G00056, ,55.539,-121.73,1950,6,19,1950-06-19 0:00,,,1950-1959,647.4,L, ,Fire, ,BC-1950-1950-G00056, , ,2020-05-05 0:00,969,200,14,14,BC
43,BC,1950-G00057, ,55.242,-121.376,1950,6,19,1950-06-19 0:00,,,1950-1959,388.4,L, ,Fire, ,BC-1950-1950-G00057, , ,2020-05-05 0:00,969,200,14,14,BC
44,BC,1950-G00148, ,54.789,-120.481,1950,9,21,1950-09-21 0:00,,,1950-1959,938.8,H, ,Fire, ,BC-1950-1950-G00148, , ,2020-05-05 0:00,618,145,9,9,BC
45,BC,1950-G00022, ,55.539,-120.876,1950,6,2,1950-06-02 0:00,,,1950-1959,1424.4,H, ,Fire, ,BC-1950-1950-G00022, , ,2020-05-05 0:00,618,145,9,9,BC
46,BC,1950-G00031, ,55.568,-121.126,1950,6,11,1950-06-11 0:00,,,1950-1959,489.6,H, ,Fire, ,BC-1950-1950-G00031, , ,2020-05-05 0:00,618,145,9,9,BC
47,BC,1952-G00020, ,55.597,-121.376,1952,5,8,1952-05-08 0:00,,,1950-1959,1659.2,H, ,Fire, ,BC-1952-1952-G00020, , ,2020-05-05 0:00,618,145,9,9,BC
48,BC,1952-R00053, ,55.26,-126.626,1952,7,23,1952-07-23 0:00,,,1950-1959,1440.6,L, ,Fire, ,BC-1952-1952-R00053, , ,2020-05-05 0:00,980,203,14,14,BC
49,BC,1952-R00065, ,54.242,-125.481,1952,8,9,1952-08-09 0:00,,,1950-1959,6276.6,L, ,Fire, ,BC-1952-1952-R00065, , ,2020-05-05 0:00,980,203,14,14,BC
50,BC,1952-G00166, ,55.01,-124.928,1952,8,1,1952-08-01 0:00,,,1950-1959,206.7,L, ,Fire, ,BC-1952-1952-G00166, , ,2020-05-05 0:00,980,203,14,14,BC
51,BC,1952-R00021, ,54.789,-126.129,1952,4,1,1952-04-01 0:00,,,1950-1959,309.1,H, ,Fire, ,BC-1952-1952-R00021, , ,2020-05-05 0:00,980,203,14,14,BC
52,BC,1952-G00028, ,53.376,-122.682,1952,5,9,1952-05-09 0:00,,,1950-1959,872,H, ,Fire, ,BC-1952-1952-G00028, , ,2020-05-05 0:00,982,203,14,14,BC
53,BC,1952-G00067, ,54.097,-123.129,1952,5,26,1952-05-26 0:00,,,1950-1959,309.5,H, ,Fire, ,BC-1952-1952-G00067, , ,2020-05-05 0:00,982,203,14,14,BC
54,BC,1952-G00125, ,54.097,-123.129,1952,7,14,1952-07-14 0:00,,,1950-1959,526,H, ,Fire, ,BC-1952-1952-G00125, , ,2020-05-05 0:00,982,203,14,14,BC
55,BC,1953-G00016, ,53.684,-122.583,1953,5,16,1953-05-16 0:00,,,1950-1959,364.2,H, ,Fire, ,BC-1953-1953-G00016, , ,2020-05-05 0:00,982,203,14,14,BC
56,BC,1952-R00035, ,53.789,-128.432,1952,7,11,1952-07-11 0:00,,,1950-1959,343.9,H, ,Fire, ,BC-1952-1952-R00035, , ,2020-05-05 0:00,945,191,13,13,BC
57,BC,1950-R00034, ,54.51,-126.278,1950,7,4,1950-07-04 0:00,,,1950-1959,331.4,H, ,Fire, ,BC-1950-1950-R00034, , ,2020-05-05 0:00,972,202,14,14,BC
58,BC,1951-R00123, ,53.434,-125.533,1951,9,15,1951-09-15 0:00,,,1950-1959,404.6,H, ,Fire, ,BC-1951-1951-R00123, , ,2020-05-05 0:00,972,202,14,14,BC
59,BC,1951-G00017, ,53.818,-125.182,1951,5,3,1951-05-03 0:00,,,1950-1959,283.2,H, ,Fire, ,BC-1951-1951-G00017, , ,2020-05-05 0:00,972,202,14,14,BC
60,BC,1953-R00006, ,53.818,-125.981,1953,5,12,1953-05-12 0:00,,,1950-1959,250.9,H, ,Fire, ,BC-1953-1953-R00006, , ,2020-05-05 0:00,972,202,14,14,BC
61,BC,1950-G00082, ,53.347,-119.783,1950,7,4,1950-07-04 0:00,,,1950-1959,607,L, ,Fire, ,BC-1950-1950-G00082, , ,2020-05-05 0:00,993,206,14,14,BC
62,BC,1951-K00228, ,51.789,-119.091,1951,7,30,1951-07-30 0:00,,,1950-1959,959.1,L, ,Fire, ,BC-1951-1951-K00228, , ,2020-05-05 0:00,985,205,14,14,BC
63,BC,1951-K00183, ,51.184,-117.888,1951,7,25,1951-07-25 0:00,,,1950-1959,607,L, ,Fire, ,BC-1951-1951-K00183, , ,2020-05-05 0:00,985,205,14,14,BC
64,BC,1951-N00163, ,50.51,-117.049,1951,7,23,1951-07-23 0:00,,,1950-1959,1165.4,L, ,Fire, ,BC-1951-1951-N00163, , ,2020-05-05 0:00,985,205,14,14,BC
65,BC,1951-K00487, ,52.463,-119.981,1951,8,1,1951-08-01 0:00,,,1950-1959,809.3,L, ,Fire, ,BC-1951-1951-K00487, , ,2020-05-05 0:00,985,205,14,14,BC
66,BC,1951-N00079, ,50.539,-116.799,1951,7,19,1951-07-19 0:00,,,1950-1959,1029.9,L, ,Fire, ,BC-1951-1951-N00079, , ,2020-05-05 0:00,985,205,14,14,BC
67,BC,1952-K00370, ,52.126,-119.885,1952,8,6,1952-08-06 0:00,,,1950-1959,237.5,L, ,Fire, ,BC-1952-1952-K00370, , ,2020-05-05 0:00,985,205,14,14,BC
68,BC,1950-G00077, ,53.405,-122.981,1950,7,2,1950-07-02 0:00,,,1950-1959,760.8,H, ,Fire, ,BC-1950-1950-G00077, , ,2020-05-05 0:00,974,202,14,14,BC
69,BC,1950-C00002, ,53.068,-123.231,1950,6,1,1950-06-01 0:00,,,1950-1959,1812.9,L, ,Fire, ,BC-1950-1950-C00002, , ,2020-05-05 0:00,974,202,14,14,BC
70,BC,1951-G00201, ,53.434,-123.682,1951,8,2,1951-08-02 0:00,,,1950-1959,242.8,L, ,Fire, ,BC-1951-1951-G00201, , ,2020-05-05 0:00,974,202,14,14,BC
71,BC,1951-C00009, ,53.01,-123.231,1951,4,27,1951-04-27 0:00,,,1950-1959,404.6,H, ,Fire, ,BC-1951-1951-C00009, , ,2020-05-05 0:00,974,202,14,14,BC
72,BC,1951-C00010, ,53.213,-123.083,1951,4,28,1951-04-28 0:00,,,1950-1959,250.9,H, ,Fire, ,BC-1951-1951-C00010, , ,2020-05-05 0:00,974,202,14,14,BC
73,BC,1951-C00180, ,53.26,-123.882,1951,4,16,1951-04-16 0:00,,,1950-1959,809.3,H, ,Fire, ,BC-1951-1951-C00180, , ,2020-05-05 0:00,974,202,14,14,BC
74,BC,1951-C00200, ,53.405,-123.682,1951,9,5,1951-09-05 0:00,,,1950-1959,1821,H, ,Fire, ,BC-1951-1951-C00200, , ,2020-05-05 0:00,974,202,14,14,BC
75,BC,1951-C00096, ,52.597,-120.635,1951,7,15,1951-07-15 0:00,,,1950-1959,202.3,L, ,Fire, ,BC-1951-1951-C00096, , ,2020-05-05 0:00,987,205,14,14,BC
76,BC,1951-C00137, ,52.26,-120.731,1951,8,20,1951-08-20 0:00,,,1950-1959,607,L, ,Fire, ,BC-1951-1951-C00137, , ,2020-05-05 0:00,987,205,14,14,BC
77,BC,1952-C00084, ,52.539,-120.731,1952,8,9,1952-08-09 0:00,,,1950-1959,841.7,L, ,Fire, ,BC-1952-1952-C00084, , ,2020-05-05 0:00,987,205,14,14,BC
78,BC,1952-C00054, ,52.51,-125.183,1952,6,6,1952-06-06 0:00,,,1950-1959,356.1,H, ,Fire, ,BC-1952-1952-C00054, , ,2020-05-05 0:00,975,202,14,14,BC
79,BC,1950-K00496, ,51.155,-120.747,1950,9,20,1950-09-20 0:00,,,1950-1959,352,H, ,Fire, ,BC-1950-1950-K00496, , ,2020-05-05 0:00,976,202,14,14,BC
80,BC,1951-K00537, ,51.126,-120.888,1951,9,17,1951-09-17 0:00,,,1950-1959,275.1,H, ,Fire, ,BC-1951-1951-K00537, , ,2020-05-05 0:00,976,202,14,14,BC
81,BC,1951-C00144, ,51.597,-120.841,1951,8,19,1951-08-19 0:00,,,1950-1959,971.2,L, ,Fire, ,BC-1951-1951-C00144, , ,2020-05-05 0:00,976,202,14,14,BC
82,BC,1952-C00074, ,52.463,-121.481,1952,8,5,1952-08-05 0:00,,,1950-1959,323.7,L, ,Fire, ,BC-1952-1952-C00074, , ,2020-05-05 0:00,976,202,14,14,BC
83,BC,1950-C00060, ,52.01,-124.087,1950,7,20,1950-07-20 0:00,,,1950-1959,404.6,H, ,Fire, ,BC-1950-1950-C00060, , ,2020-05-05 0:00,977,202,14,14,BC
84,BC,1951-C00050, ,52.155,-124.039,1951,6,7,1951-06-07 0:00,,,1950-1959,202.3,H, ,Fire, ,BC-1951-1951-C00050, , ,2020-05-05 0:00,977,202,14,14,BC
85,BC,1951-C00051, ,52.184,-123.183,1951,6,9,1951-06-09 0:00,,,1950-1959,311.6,H, ,Fire, ,BC-1951-1951-C00051, , ,2020-05-05 0:00,977,202,14,14,BC
86,BC,1951-C00061, ,51.934,-124.435,1951,7,27,1951-07-27 0:00,,,1950-1959,2298.6,H, ,Fire, ,BC-1951-1951-C00061, , ,2020-05-05 0:00,977,202,14,14,BC
87,BC,1951-C00071, ,51.789,-124.044,1951,7,1,1951-07-01 0:00,,,1950-1959,2832.8,H, ,Fire, ,BC-1951-1951-C00071, , ,2020-05-05 0:00,977,202,14,14,BC
88,BC,1951-C00077, ,51.905,-124.497,1951,7,12,1951-07-12 0:00,,,1950-1959,453.2,H, ,Fire, ,BC-1951-1951-C00077, , ,2020-05-05 0:00,977,202,14,14,BC
89,BC,1951-C00084, ,51.847,-123.982,1951,7,24,1951-07-24 0:00,,,1950-1959,809.3,H, ,Fire, ,BC-1951-1951-C00084, , ,2020-05-05 0:00,977,202,14,14,BC
90,BC,1951-C00131, ,51.963,-124.388,1951,8,2,1951-08-02 0:00,,,1950-1959,485.6,H, ,Fire, ,BC-1951-1951-C00131, , ,2020-05-05 0:00,977,202,14,14,BC
91,BC,1951-C00152, ,52.039,-123.981,1951,9,3,1951-09-03 0:00,,,1950-1959,4653.8,H, ,Fire, ,BC-1951-1951-C00152, , ,2020-05-05 0:00,977,202,14,14,BC
92,BC,1952-C00055, ,51.713,-124.185,1952,5,31,1952-05-31 0:00,,,1950-1959,258.9,H, ,Fire, ,BC-1952-1952-C00055, , ,2020-05-05 0:00,977,202,14,14,BC
93,BC,1952-C00094, ,51.847,-124.747,1952,8,5,1952-08-05 0:00,,,1950-1959,485.6,L, ,Fire, ,BC-1952-1952-C00094, , ,2020-05-05 0:00,977,202,14,14,BC
94,BC,1950-C00121, ,51.905,-122.091,1950,9,20,1950-09-20 0:00,,,1950-1959,234.7,H, ,Fire, ,BC-1950-1950-C00121, , ,2020-05-05 0:00,978,202,14,14,BC
95,BC,1951-C00100, ,51.126,-121.247,1951,7,28,1951-07-28 0:00,,,1950-1959,242.8,L, ,Fire, ,BC-1951-1951-C00100, , ,2020-05-05 0:00,978,202,14,14,BC
96,BC,1951-C00114, ,51.568,-121.591,1951,8,1,1951-08-01 0:00,,,1950-1959,607,L, ,Fire, ,BC-1951-1951-C00114, , ,2020-05-05 0:00,978,202,14,14,BC
97,BC,1951-C00115, ,51.684,-121.591,1951,8,1,1951-08-01 0:00,,,1950-1959,809.3,L, ,Fire, ,BC-1951-1951-C00115, , ,2020-05-05 0:00,978,202,14,14,BC
98,BC,1951-C00142, ,52.01,-122.231,1951,7,17,1951-07-17 0:00,,,1950-1959,566.5,H, ,Fire, ,BC-1951-1951-C00142, , ,2020-05-05 0:00,978,202,14,14,BC
99,BC,1951-C00162, ,51.126,-121.294,1951,9,12,1951-09-12 0:00,,,1950-1959,305.5,H, ,Fire, ,BC-1951-1951-C00162, , ,2020-05-05 0:00,978,202,14,14,BC
100,BC,1951-C00209, ,51.242,-121.138,1951,7,29,1951-07-29 0:00,,,1950-1959,582.7,L, ,Fire, ,BC-1951-1951-C00209, , ,2020-05-05 0:00,978,202,14,14,BC
101,BC,1952-K00200, ,52.155,-118.289,1952,7,31,1952-07-31 0:00,,,1950-1959,291.3,L, ,Fire, ,BC-1952-1952-K00200, , ,2020-05-05 0:00,994,206,14,14,BC
102,BC,1952-K00231, ,52.097,-118.385,1952,8,1,1952-08-01 0:00,,,1950-1959,364.2,L, ,Fire, ,BC-1952-1952-K00231, , ,2020-05-05 0:00,994,206,14,14,BC
103,BC,1951-C00213, ,51.905,-125.732,1951,9,1,1951-09-01 0:00,,,1950-1959,607,L, ,Fire, ,BC-1951-1951-C00213, , ,2020-05-05 0:00,983,204,14,14,BC
104,BC,1952-C00003, ,52.405,-125.933,1952,8,9,1952-08-09 0:00,,,1950-1959,995.5,L, ,Fire, ,BC-1952-1952-C00003, , ,2020-05-05 0:00,983,204,14,14,BC
105,BC,1951-V00604, ,50.539,-124.345,1951,8,24,1951-08-24 0:00,,,1950-1959,1303,L, ,Fire, ,BC-1951-1951-V00604, , ,2020-05-05 0:00,948,192,13,13,BC
106,BC,1951-V00649, ,50.289,-124.595,1951,9,19,1951-09-19 0:00,,,1950-1959,2294.5,H, ,Fire, ,BC-1951-1951-V00649, , ,2020-05-05 0:00,948,192,13,13,BC
107,BC,1951-V00436, ,50.847,-124.641,1951,7,23,1951-07-23 0:00,,,1950-1959,491.6,H, ,Fire, ,BC-1951-1951-V00436, , ,2020-05-05 0:00,948,192,13,13,BC
108,BC,1950-K00388, ,51.097,-119.294,1950,9,8,1950-09-08 0:00,,,1950-1959,206.3,L, ,Fire, ,BC-1950-1950-K00388, , ,2020-05-05 0:00,988,205,14,14,BC
109,BC,1951-K00214, ,51.289,-118.982,1951,7,25,1951-07-25 0:00,,,1950-1959,323.7,L, ,Fire, ,BC-1951-1951-K00214, , ,2020-05-05 0:00,988,205,14,14,BC
110,BC,1951-K00251, ,51.463,-119.841,1951,8,1,1951-08-01 0:00,,,1950-1959,1042,L, ,Fire, ,BC-1951-1951-K00251, , ,2020-05-05 0:00,988,205,14,14,BC
111,BC,1951-K00325, ,50.789,-118.641,1951,8,2,1951-08-02 0:00,,,1950-1959,526,L, ,Fire, ,BC-1951-1951-K00325, , ,2020-05-05 0:00,988,205,14,14,BC
112,BC,1951-K00444, ,51.318,-119.888,1951,8,11,1951-08-11 0:00,,,1950-1959,3755.4,L, ,Fire, ,BC-1951-1951-K00444, , ,2020-05-05 0:00,988,205,14,14,BC
113,BC,1951-K00073, ,51.126,-118.638,1951,6,29,1951-06-29 0:00,,,1950-1959,4597.2,L, ,Fire, ,BC-1951-1951-K00073, , ,2020-05-05 0:00,988,205,14,14,BC
114,BC,1951-K00163, ,51.213,-118.888,1951,7,21,1951-07-21 0:00,,,1950-1959,3136.3,L, ,Fire, ,BC-1951-1951-K00163, , ,2020-05-05 0:00,988,205,14,14,BC
115,BC,1951-K00452, ,51.963,-120.232,1951,8,10,1951-08-10 0:00,,,1950-1959,408.7,L, ,Fire, ,BC-1951-1951-K00452, , ,2020-05-05 0:00,988,205,14,14,BC
116,BC,1952-K00470, ,51.789,-119.138,1952,8,12,1952-08-12 0:00,,,1950-1959,598.9,L, ,Fire, ,BC-1952-1952-K00470, , ,2020-05-05 0:00,988,205,14,14,BC
117,BC,1952-K00275, ,51.742,-119.185,1952,8,5,1952-08-05 0:00,,,1950-1959,2395.7,L, ,Fire, ,BC-1952-1952-K00275, , ,2020-05-05 0:00,988,205,14,14,BC
118,BC,1952-K00632, ,50.992,-119.391,1952,10,19,1952-10-19 0:00,,,1950-1959,227.8,H, ,Fire, ,BC-1952-1952-K00632, , ,2020-05-05 0:00,988,205,14,14,BC
119,BC,1950-C00096, ,52.01,-122.683,1950,9,8,1950-09-08 0:00,,,1950-1959,408.7,H, ,Fire, ,BC-1950-1950-C00096, , ,2020-05-05 0:00,979,202,14,14,BC
120,BC,1951-K00312, ,51.01,-121.185,1951,7,29,1951-07-29 0:00,,,1950-1959,1691.5,L, ,Fire, ,BC-1951-1951-K00312, , ,2020-05-05 0:00,1004,209,14,14,BC
121,BC,1951-K00398, ,50.847,-120.845,1951,8,18,1951-08-18 0:00,,,1950-1959,283.2,L, ,Fire, ,BC-1951-1951-K00398, , ,2020-05-05 0:00,1004,209,14,14,BC
122,BC,1951-C00208, ,51.818,-120.544,1951,7,27,1951-07-27 0:00,,,1950-1959,263.4,L, ,Fire, ,BC-1951-1951-C00208, , ,2020-05-05 0:00,1004,209,14,14,BC
123,BC,1950-N00307, ,50.184,-115.141,1950,9,3,1950-09-03 0:00,,,1950-1959,477.5,L, ,Fire, ,BC-1950-1950-N00307, , ,2020-05-05 0:00,995,206,14,14,BC
124,BC,1951-N00158, ,50.568,-115.687,1951,7,31,1951-07-31 0:00,,,1950-1959,339.9,L, ,Fire, ,BC-1951-1951-N00158, , ,2020-05-05 0:00,995,206,14,14,BC
125,BC,1951-N00136, ,50.376,-116.482,1951,7,23,1951-07-23 0:00,,,1950-1959,1108.8,L, ,Fire, ,BC-1951-1951-N00136, , ,2020-05-05 0:00,989,205,14,14,BC
126,BC,1950-K00239, ,50.684,-121.982,1950,7,23,1950-07-23 0:00,,,1950-1959,728.4,H, ,Fire, ,BC-1950-1950-K00239, , ,2020-05-05 0:00,1002,208,14,14,BC
127,BC,1952-K00630, ,50.318,-121.732,1952,10,15,1952-10-15 0:00,,,1950-1959,607,H, ,Fire, ,BC-1952-1952-K00630, , ,2020-05-05 0:00,1002,208,14,14,BC
128,BC,1951-K00120, ,50.76,-120.753,1951,7,14,1951-07-14 0:00,,,1950-1959,323.7,H, ,Fire, ,BC-1951-1951-K00120, , ,2020-05-05 0:00,1005,209,14,14,BC
129,BC,1950-V00157, ,50.626,-126.232,1950,6,5,1950-06-05 0:00,,,1950-1959,248.8,H, ,Fire, ,BC-1950-1950-V00157, , ,2020-05-05 0:00,949,192,13,13,BC
130,BC,1951-V00557, ,50.539,-126.345,1951,8,20,1951-08-20 0:00,,,1950-1959,5007.9,H, ,Fire, ,BC-1951-1951-V00557, , ,2020-05-05 0:00,949,192,13,13,BC
131,BC,1951-V00295, ,50.26,-124.845,1951,7,1,1951-07-01 0:00,,,1950-1959,331.8,H, ,Fire, ,BC-1951-1951-V00295, , ,2020-05-05 0:00,949,192,13,13,BC
132,BC,1951-N00129, ,50.434,-117.595,1951,3,1,1951-03-01 0:00,,,1950-1959,566.5,L, ,Fire, ,BC-1951-1951-N00129, , ,2020-05-05 0:00,990,205,14,14,BC
133,BC,1951-N00284, ,50.492,-117.732,1951,8,20,1951-08-20 0:00,,,1950-1959,283.2,L, ,Fire, ,BC-1951-1951-N00284, , ,2020-05-05 0:00,990,205,14,14,BC
134,BC,1952-N00339, ,50.155,-117.595,1952,10,1,1952-10-01 0:00,,,1950-1959,655.5,H, ,Fire, ,BC-1952-1952-N00339, , ,2020-05-05 0:00,990,205,14,14,BC
135,BC,1951-V00372, ,49.742,-122.233,1951,7,30,1951-07-30 0:00,,,1950-1959,356.1,H, ,Fire, ,BC-1951-1951-V00372, , ,2020-05-05 0:00,950,192,13,13,BC
